"","gene","gene_chr","gene_start","gene_end","loci","loci_chr","loci_pos","cis_effect"
"1","2310033P09Rik","11",59208321,59210738,"13_60419083",13,60419083,0
"2","2310033P09Rik","11",59208321,59210738,"13_61318069.5",13,61318069.5,0
"3","2310033P09Rik","11",59208321,59210738,"13_62856172.5",13,62856172.5,0
"4","2310033P09Rik","11",59208321,59210738,"13_63258154.5",13,63258154.5,0
"5","4930523C07Rik","1",160044382,160080208,"1_159693570",1,159693570,1
"6","4930523C07Rik","1",160044382,160080208,"1_160080982.5",1,160080982.5,1
"7","9530068E07Rik","11",52396428,52408728,"2_77568354",2,77568354,0
"8","9530068E07Rik","11",52396428,52408728,"20_50874526",20,50874526,0
"9","9530068E07Rik","11",52396428,52408728,"20_51601902",20,51601902,0
"10","9530068E07Rik","11",52396428,52408728,"20_52561483",20,52561483,0
"11","9530068E07Rik","11",52396428,52408728,"20_53178480",20,53178480,0
"12","Ablim1","19",57032733,57314919,"2_83390907",2,83390907,0
"13","Acat1","9",53580522,53610382,"8_43471583",8,43471583,0
"14","Acat1","9",53580522,53610382,"8_44300531",8,44300531,0
"15","Acbd6","1",155558120,155691330,"2_82574674",2,82574674,0
"16","Acbd6","1",155558120,155691330,"2_90568723",2,90568723,0
"17","Acbd6","1",155558120,155691330,"8_42317944",8,42317944,0
"18","Acot7","4",152178134,152271855,"2_84974555",2,84974555,0
"19","Actl6a","3",32706298,32726973,"3_32833381",3,32833381,1
"20","Actl6a","3",32706298,32726973,"3_33149929.5",3,33149929.5,1
"21","Adgrg5","8",94923694,94943280,"2_90679157.5",2,90679157.5,0
"22","Adgrg5","8",94923694,94943280,"8_42317944",8,42317944,0
"23","Agpat5","8",18846277,18891361,"13_59899056.5",13,59899056.5,0
"24","Aimp1","3",132660481,132684370,"6_32696338",6,32696338,0
"25","Aimp1","3",132660481,132684370,"6_33562641",6,33562641,0
"26","Aimp1","3",132660481,132684370,"8_42317944",8,42317944,0
"27","Ak2","4",128991958,129011529,"4_128128806",4,128128806,1
"28","Ak2","4",128991958,129011529,"4_129884158",4,129884158,1
"29","Amz2","11",109425946,109452813,"2_169701486",2,169701486,0
"30","Amz2","11",109425946,109452813,"11_108628781.5",11,108628781.5,1
"31","Amz2","11",109425946,109452813,"11_109558791.5",11,109558791.5,1
"32","Anp32b","4",46450902,46472657,"3_121698157",3,121698157,0
"33","Anp32b","4",46450902,46472657,"3_122458232",3,122458232,0
"34","Anp32b","4",46450902,46472657,"15_84832505",15,84832505,0
"35","Anp32b","4",46450902,46472657,"15_85441696",15,85441696,0
"36","Anp32b","4",46450902,46472657,"15_86511733",15,86511733,0
"37","Anp32e","3",95929246,95947390,"3_95589415.5",3,95589415.5,1
"38","Anp32e","3",95929246,95947390,"3_96599847",3,96599847,1
"39","Anxa5","3",36448923,36475894,"3_35679977",3,35679977,1
"40","Anxa5","3",36448923,36475894,"3_36693300",3,36693300,1
"41","Anxa5","3",36448923,36475894,"3_37134808",3,37134808,1
"42","Apbb1ip","2",22774094,22875653,"2_22558610",2,22558610,1
"43","Apbb1ip","2",22774094,22875653,"2_23173526",2,23173526,1
"44","Arf6","12",69372150,69373783,"12_69843676",12,69843676,1
"45","Arf6","12",69372150,69373783,"12_70026538.5",12,70026538.5,1
"46","Arfgap2","2",91264974,91276931,"2_84974555",2,84974555,0
"47","Arg1","10",24915221,24927484,"10_24407151",10,24407151,1
"48","Arg1","10",24915221,24927484,"10_25524831",10,25524831,1
"49","Arid4a","12",71015990,71098592,"2_90641665",2,90641665,0
"50","Arid4a","12",71015990,71098592,"8_42317944",8,42317944,0
"51","Arid4a","12",71015990,71098592,"12_71837496.5",12,71837496.5,1
"52","Arid4a","12",71015990,71098592,"12_72081220.5",12,72081220.5,1
"53","Arl2bp","8",94666600,94674425,"8_93810087.5",8,93810087.5,1
"54","Arl2bp","8",94666600,94674425,"8_94048088",8,94048088,1
"55","Arl6ip5","6",97210689,97233315,"2_169688642",2,169688642,0
"56","Arl6ip5","6",97210689,97233315,"2_170642516",2,170642516,0
"57","Arpc5","1",152766542,152775597,"1_151921167",1,151921167,1
"58","Arpc5","1",152766542,152775597,"1_152170901.5",1,152170901.5,1
"59","Arpp19","9",75037614,75060313,"2_84934875",2,84934875,0
"60","Atox1","11",55446641,55461239,"2_84974555",2,84974555,0
"61","Atp11b","3",35754106,35856276,"3_35561375.5",3,35561375.5,1
"62","Atp11b","3",35754106,35856276,"3_36662691",3,36662691,1
"63","Atp1a1","3",101576219,101604684,"2_169688642",2,169688642,0
"64","Atp1a1","3",101576219,101604684,"2_170594565.5",2,170594565.5,0
"65","Atp5g3","2",73908447,73911326,"2_73777703.5",2,73777703.5,1
"66","Atp5g3","2",73908447,73911326,"2_74181537",2,74181537,1
"67","Atpif1","4",132530555,132533659,"8_43471583",8,43471583,0
"68","Aup1","6",83054521,83057808,"8_40917088",8,40917088,0
"69","Aup1","6",83054521,83057808,"8_41118204",8,41118204,0
"70","Azi2","9",118040499,118069794,"2_90616790",2,90616790,0
"71","Azi2","9",118040499,118069794,"8_42317944",8,42317944,0
"72","Baz1a","12",54892989,55014348,"2_90691775",2,90691775,0
"73","Baz1a","12",54892989,55014348,"8_42317944",8,42317944,0
"74","Bbx","16",50191844,50432390,"2_90641665",2,90641665,0
"75","Bbx","16",50191844,50432390,"8_42317944",8,42317944,0
"76","BC031181","18",75005868,75010152,"18_75947807",18,75947807,1
"77","Bcas2","3",103171655,103179166,"2_84974555",2,84974555,0
"78","Bcl10","3",145922804,145934356,"8_43471583",8,43471583,0
"79","Bcl10","3",145922804,145934356,"8_44253141",8,44253141,0
"80","Bcl2l11","2",128126038,128162547,"8_41262402",8,41262402,0
