"","gene","gene_chr","gene_start","gene_end","loci","loci_chr","loci_pos","cis_effect"
"1","1110004F10Rik","7",116039397,116105210,"2_85122984",2,85122984,0
"2","2310033P09Rik","11",59208321,59210738,"2_84974555",2,84974555,0
"3","2610001J05Rik","6",13867735,13871518,"2_84974555",2,84974555,0
"4","4930523C07Rik","1",160044382,160080208,"1_159632685",1,159632685,1
"5","4930523C07Rik","1",160044382,160080208,"1_160080982.5",1,160080982.5,1
"6","Abcb9","5",124061530,124095798,"13_59899056.5",13,59899056.5,0
"7","Abcb9","5",124061530,124095798,"13_60419083",13,60419083,0
"8","Abcb9","5",124061530,124095798,"13_61318069.5",13,61318069.5,0
"9","Abcb9","5",124061530,124095798,"13_62856172.5",13,62856172.5,0
"10","Abcb9","5",124061530,124095798,"13_63258154.5",13,63258154.5,0
"11","Abhd16a","17",35089263,35102987,"17_34102430",17,34102430,1
"12","Abhd17c","7",84109356,84151893,"7_83982412",7,83982412,1
"13","Abhd17c","7",84109356,84151893,"7_84486306",7,84486306,1
"14","Abhd2","7",79273199,79365508,"7_78627028",7,78627028,1
"15","Abhd2","7",79273199,79365508,"7_79779534",7,79779534,1
"16","Abhd2","7",79273199,79365508,"7_80161768",7,80161768,1
"17","Abi3","11",95830074,95842476,"11_95038590",11,95038590,1
"18","Acap1","11",69881567,69895539,"2_84974555",2,84974555,0
"19","Acat1","9",53580522,53610382,"2_84974555",2,84974555,0
"20","Actg1","11",120345690,120348542,"11_120975852",11,120975852,1
"21","Actl6a","3",32706298,32726973,"3_32521820",3,32521820,1
"22","Actl6a","3",32706298,32726973,"3_33149929.5",3,33149929.5,1
"23","Adh5","3",138443093,138455499,"2_84974555",2,84974555,0
"24","Adipor1","1",134415378,134433351,"2_169688642",2,169688642,0
"25","Adipor1","1",134415378,134433351,"2_170510283",2,170510283,0
"26","Adipor2","6",119353150,119417704,"6_118647034",6,118647034,1
"27","Adipor2","6",119353150,119417704,"6_119370977.5",6,119370977.5,1
"28","Agpat5","8",18846277,18891361,"8_17903050.5",8,17903050.5,1
"29","Agpat5","8",18846277,18891361,"8_18621820",8,18621820,1
"30","Akap8l","17",32321424,32350607,"17_31471362",17,31471362,1
"31","Akt1","12",112653821,112674884,"2_83390907",2,83390907,0
"32","Akt1","12",112653821,112674884,"2_84974555",2,84974555,0
"33","Amd1","10",40287458,40302188,"10_39742000",10,39742000,1
"34","Amfr","8",93971588,94012842,"8_93562970.5",8,93562970.5,1
"35","Ankrd44","1",54645340,54926387,"1_55902156",1,55902156,1
"36","Anp32e","3",95929246,95947390,"3_95947248",3,95947248,1
"37","Anp32e","3",95929246,95947390,"3_96361029",3,96361029,1
"38","Anxa11","14",25842156,25886804,"2_84974555",2,84974555,0
"39","Anxa11","14",25842156,25886804,"14_25615984",14,25615984,1
"40","Anxa11","14",25842156,25886804,"14_26519536",14,26519536,1
"41","Anxa5","3",36448923,36475894,"3_35586168",3,35586168,1
"42","Anxa5","3",36448923,36475894,"3_36662691",3,36662691,1
"43","Aqp3","4",41092722,41098183,"2_84954715",2,84954715,0
"44","Arglu1","8",8665075,8690521,"8_43471583",8,43471583,0
"45","Arglu1","8",8665075,8690521,"8_44300531",8,44300531,0
"46","Arhgap31","16",38598340,38713274,"16_38450194",16,38450194,1
"47","Arhgap31","16",38598340,38713274,"16_39303770",16,39303770,1
"48","Arid4a","12",71015990,71098592,"2_84974555",2,84974555,0
